trial,seed,max_tokens,beam_size,pool_size,sample_per_beam,temperature,avg_query_sim,avg_combined_score,avg_tokens_generated,avg_decoding_time_sec,trial_wall_time_sec,query_samples
1,43,22,7,258,117,0.6008,0.9008144736289978,0.9018392652273178,21.8,14.324816155433655,288.35694122314453,20
2,44,46,11,218,109,1.1034,0.9135608077049255,0.9143251895904541,45.45,55.39091211557388,1108.1438524723053,20
3,45,37,9,204,52,0.5573,0.9033634513616562,0.9041281759738922,36.2,17.09893157482147,342.3067286014557,20
4,46,24,9,90,95,0.9108,0.8991160094738007,0.8994572699069977,23.6,16.729168605804443,334.90782737731934,20
5,47,42,4,190,90,0.8176,0.9063109278678894,0.9077270179986954,41.6,15.422305083274841,308.76805090904236,20
6,48,55,8,113,91,0.9981,0.9124375522136688,0.9135603457689285,54.9,45.523434376716615,910.798467874527,20
7,49,24,8,185,34,0.7264,0.8912595093250275,0.8922356963157654,23.2,5.855222523212433,117.43766808509827,20
8,50,51,7,173,101,1.1236,0.9119982182979584,0.9133352905511856,50.1,38.61065427064896,772.5383281707764,20
9,51,35,11,221,40,0.6723,0.9004738360643387,0.9013320922851562,34.85,14.833781504631043,297.0086371898651,20
10,52,37,3,265,85,0.8387,0.9022934705018997,0.9036803990602493,36.35,9.00678733587265,180.4634506702423,20
11,53,59,6,196,84,0.998,0.9114512234926224,0.9134416341781616,58.35,33.78340516090393,675.9937722682953,20
12,54,28,10,222,58,0.8381,0.8997345000505448,0.9007819086313248,27.6,14.621599018573761,292.7565383911133,20
13,55,25,6,118,114,0.7119,0.899768340587616,0.9007482826709747,24.05,14.574613904953003,291.81318402290344,20
14,56,55,3,201,103,0.8663,0.9099265187978745,0.9113550245761871,54.4,19.160767376422882,383.54057812690735,20
15,57,22,8,230,97,0.5135,0.9017767637968064,0.9016838282346725,21.2,14.228486859798432,284.8913314342499,20
16,58,57,6,132,114,0.9494,0.9135024756193161,0.9152894526720047,55.65,43.846111834049225,877.2470421791077,20
17,59,34,4,246,78,0.5159,0.8999395608901978,0.902519965171814,33.8,9.90218323469162,198.3668737411499,20
18,60,39,7,227,39,0.6859,0.9021861255168915,0.9017654240131379,38.55,10.813771438598632,216.61595845222473,20
19,61,51,5,222,47,1.0668,0.9050021052360535,0.9057553350925446,50.3,13.216162955760955,264.64870285987854,20
20,62,56,5,96,50,1.1247,0.9058638900518418,0.9059958219528198,54.55,16.223261547088622,324.7848575115204,20
21,63,48,10,155,52,0.839,0.9059578895568847,0.9077370673418045,47.4,26.849721705913545,537.3145020008087,20
22,64,50,4,241,98,0.7828,0.9107884466648102,0.9117417424917221,49.1,20.5905473947525,412.1357400417328,20
23,65,46,7,153,85,1.0913,0.9102541655302048,0.9110813349485397,45.55,29.30919269323349,586.5190727710724,20
24,66,24,7,191,51,1.0509,0.8963651537895203,0.8970449686050415,23.0,7.568611228466034,151.70836663246155,20
25,67,24,4,276,72,1.1805,0.8980804085731506,0.8986972332000732,23.25,5.980356335639954,119.93115448951721,20
26,68,67,10,256,115,1.0777,0.9192550539970398,0.9206464320421219,65.65,91.93849174976349,1839.1189465522766,20
27,69,63,3,104,41,0.5467,0.9008368343114853,0.9025422215461731,61.2,9.652387750148772,193.37890672683716,20
28,70,27,7,259,78,0.815,0.9018458515405655,0.9035143792629242,26.65,12.933888459205628,259.02050709724426,20
29,71,40,11,238,21,0.6855,0.8957409769296646,0.8965772897005081,39.8,10.171948337554932,203.76408052444458,20
30,72,24,12,269,43,0.7408,0.8941756367683411,0.8956647753715515,23.65,10.837582445144653,217.0918276309967,20
