model,dataset,similarity,trials,info_appeared_1,info_appeared_5,info_appeared_10,info_sim,stuffing_appeared_1,stuffing_appeared_5,stuffing_appeared_10,stuffing_sim,adv_appeared_1,adv_appeared_5,adv_appeared_10,adv_sim,adv_dec_appeared_1,adv_dec_appeared_5,adv_dec_appeared_10,adv_dec_sim
sentence-transformers/all-MiniLM-L6-v2,msmarco,cos_sim,50,0.0,0.0,0.0,0.0167301217839121,0.06,0.14,0.18,0.5835057032108307,0.94,1.0,1.0,0.9234199452400208,0.22,0.44,0.66,0.7336750912666321
facebook/contriever-msmarco,msmarco,dot,50,0.0,0.0,0.0,0.4746817791461944,0.22,0.36,0.56,1.6065581130981446,1.0,1.0,1.0,2.7993674659729004,0.48,0.72,0.8,1.773310558795929
facebook/contriever,msmarco,dot,50,0.0,0.0,0.0,0.485094159245491,0.58,0.9,0.98,1.417732253074646,1.0,1.0,1.0,2.462961444854736,0.54,0.86,0.88,1.382422437667847
Snowflake/snowflake-arctic-embed-m,msmarco,cos_sim,50,0.0,0.0,0.0,0.1668395526707172,0.56,0.78,0.86,0.605261760354042,1.0,1.0,1.0,0.7634652018547058,0.2,0.62,0.82,0.5467024439573288
sentence-transformers/all-mpnet-base-v2,msmarco,cos_sim,50,0.0,0.0,0.0,0.0046708144713193,0.06,0.22,0.38,0.5890111148357391,0.92,0.98,1.0,0.9050955045223236,0.28,0.54,0.68,0.7347944605350495
intfloat/e5-base-v2,msmarco,cos_sim,50,0.0,0.0,0.0,0.6737468349933624,0.02,0.08,0.18,0.8392778468132019,0.96,1.0,1.0,0.9478024375438692,0.14,0.42,0.56,0.8838872349262238
sentence-transformers/gtr-t5-base,msmarco,cos_sim,50,0.0,0.0,0.0,0.3862459683418274,0.24,0.5,0.6,0.7717776358127594,1.0,1.0,1.0,0.9098597586154936,0.5,0.76,0.84,0.8283061337471008
sentence-transformers/all-MiniLM-L6-v2,nq,cos_sim,50,0.0,0.0,0.0,-0.0111189739964902,0.16,0.3,0.4,0.5931875497102738,0.98,1.0,1.0,0.9356366550922394,0.54,0.78,0.88,0.740745564699173
sentence-transformers/msmarco-roberta-base-ance-firstp,msmarco,dot,50,0.0,0.0,0.0,698.2021716308594,0.04,0.18,0.24,710.1187438964844,1.0,1.0,1.0,717.4958532714844,0.42,0.8,0.9,714.4347717285157
sentence-transformers/multi-qa-mpnet-base-dot-v1,msmarco,dot,50,0.0,0.0,0.0,6.527023777961731,0.08,0.24,0.38,27.075792121887208,1.0,1.0,1.0,40.33632667541504,0.42,0.82,0.9,33.46842155456543
sentence-transformers/msmarco-roberta-base-ance-firstp,nq,dot,50,0.0,0.0,0.0,698.7273876953125,0.18,0.3,0.42,712.0091918945312,1.0,1.0,1.0,718.5572814941406,0.74,0.92,0.98,715.4707080078125
facebook/contriever-msmarco,nq,dot,50,0.0,0.0,0.0,0.4800942087173462,0.36,0.54,0.62,1.6212372374534607,1.0,1.0,1.0,2.7335123682022093,0.7,0.94,0.98,1.805414278507233
intfloat/e5-base-v2,nq,cos_sim,50,0.0,0.0,0.0,0.6416023600101471,0.14,0.4,0.44,0.8367687785625457,1.0,1.0,1.0,0.940645945072174,0.3,0.84,0.96,0.8690360474586487
